PLAYER;TEAM;AGE;HEIGHT;MINUTES;PAINT_FGM;PAINT_FGA;PAINT_FG%;MR_FGM;MR_FGA;MR_FG%;3_FGM;3_FGA;3_FG%;FTM;FTA;FT%;PPG;OREB;DREB;AST;TOV;STL;BLK;DRIVES;POSTUPS;CATCH_SHOOT;USG%;PIE
Kevin Love;CLE;31;6'8;31.8;1.8;3.3;0.545;1.4;2.7;52;2.6;7;41.3;0.2;0.2;83.3;17.6;1;8.8;3.2;2.5;0.6;0.3;1.3;6.8;5.3;22.5;14
Kevin Porter Jr.;CLE;20;6'4;23.2;2.2;3.8;0.579;0.4;1.4;29.2;1.1;3.1;35.575;0.8;1;76;10;0.4;2.8;2.2;1.9;0.9;0.3;5.1;0.1;1.6;20.2;6.9
Kevon Looney;GSW;24;6'9;13.1;1.3;2.7;0.481;0.1;0.7;15.4;0.1;0.8;5;0.1;0.1;100;3.4;1.4;1.9;1;0.6;0.6;0.3;1;1.3;0.7;14.7;5.6
Khem Birch;ORL;27;6'9;19.2;1.5;2.9;0.517;0;0.2;22.2;0;0;0;0.1;0.2;75;4.4;1.9;2.7;1;0.6;0.4;0.5;0.2;0.5;0;10.1;6.9
Khris Middleton;MIL;28;6'7;29.9;2.7;4.7;0.574;2.5;4.8;52.7;2.4;5.7;44.675;0.5;0.6;94.1;20.9;0.7;5.5;4.3;2.2;0.9;0.1;5.5;2.2;2.9;26;15.4
Khyri Thomas;DET;24;6'3;7.7;0;0.1;0;0.1;0.5;25;0.6;1.9;24.975;0.1;0.3;50;2.1;0.1;0;0.4;0.4;0.4;0;0.8;0;1.5;14.9;-1.3
Kostas Antetokounmpo;LAL;22;6'10;4;0.8;0.8;1;0;0;0;0;0;0;0;0;0;1.4;0.4;0.2;0.4;0.2;0;0;0;0;0;9.6;6.9
Kris Dunn;CHI;26;6'3;24.9;2.4;4.2;0.571;0.1;0.4;16.7;0.6;2.2;26.525;0.3;0.5;68;7.3;0.5;3.2;3.4;1.3;2;0.3;7;0.1;1.9;14.5;8.2
Kristaps Porzingis;DAL;24;7'3;31.8;3.2;5.9;0.542;1.3;3.4;38.1;2.5;7;32.3;0.9;1.1;80.3;20.4;1.8;7.7;1.8;1.6;0.7;2;3.7;3.4;6.1;26.3;12.8
Ky Bowman;GSW;23;6'1;22.6;1.6;3.2;0.5;0.7;1.6;42.5;0.7;2.4;33;0.4;0.4;90;7.4;0.5;2.2;2.9;1.6;1;0.2;5.3;0.1;1.3;16.8;6.7
Kyle Alexander;MIA;23;6'10;6.7;0.5;1;0.5;0;0;0;0;0;0;0;0;0;1;1;0.5;0;0.5;0;0;0;0;0;7.9;2.1
Kyle Anderson;MEM;26;6'9;19.8;1.6;2.9;0.552;0.4;0.7;48;0.4;1.3;28.175;0.2;0.4;61.5;5.8;0.9;3.4;2.4;1;0.8;0.6;2.8;0.2;1;13.4;9.4
Kyle Guy;SAC;22;6'1;3.2;0.3;0.3;1;0.3;0.3;100;#VALEUR!;#VALEUR!;0;0;0;0;1.3;0;0.3;0.3;0;0;0;0.7;0;1;20;3.8
Kyle Korver;MIL;39;6'7;16.6;0.2;0.4;0.5;0.3;0.6;50;1.8;4.2;42.525;0;0;100;6.7;0.3;1.8;1.2;0.8;0.4;0.2;0.3;0;3.2;14.5;7.6
Kyle Kuzma;LAL;24;6'8;25;2.8;5;0.56;0.5;1.6;33.3;1.5;4.5;38.925;0.6;0.7;83.3;12.8;0.9;3.6;1.3;1.5;0.5;0.4;4.3;1;3.3;22.1;8.5
Kyle Lowry;TOR;34;6'0;36.2;2.5;4.5;0.556;0.5;1.3;37.7;2.8;8;31.35;1.3;1.4;93.8;19.4;0.6;4.5;7.5;3.1;1.4;0.4;9.6;0.1;3.6;22.5;12.5
Kyle O'Quinn;PHI;30;6'9;10.8;0.9;1.4;0.643;0.3;0.6;50;0.2;1.1;15.9;0;0;0;3.5;1.2;2.8;1.8;0.7;0.2;0.8;0.3;0.7;0.8;14.8;12.9
Kyrie Irving;BKN;28;6'2;32.9;5.3;9.6;0.552;1.9;4.2;45.2;2.9;7.2;46.4;1.5;1.6;90.6;27.4;1.1;4.1;6.4;2.6;1.4;0.5;14.2;0.3;1.9;31.8;16.4
LaMarcus Aldridge;SAS;34;6'11;33.1;3.2;5.4;0.593;3;6.6;44.9;1.1;3;34.725;0.1;0.1;100;18.9;1.9;5.5;2.4;1.4;0.7;1.6;0.6;9.7;2.6;23.6;12
Lance Thomas;BKN;32;6'8;14;0.3;0.7;0.429;0.3;0.8;40;0.7;2.2;31.65;0;0;0;3.4;0.3;1.6;0.9;0.9;0;0;0.7;0;1.9;13;2
Landry Shamet;LAC;23;6'4;27.4;0.9;1.5;0.6;0.1;0.4;21.1;2.1;5.6;39.325;0.3;0.3;93.8;9.3;0.1;1.8;1.9;0.8;0.4;0.2;2.2;0;4.6;13.2;4.8
Langston Galloway;DET;28;6'1;25.8;1.2;2.3;0.522;0.4;0.9;42.6;2.1;5.1;42.65;0.2;0.3;88.9;10.3;0.5;1.8;1.5;0.6;0.7;0.2;3;0;4.7;14.9;7.5
Larry Nance Jr.;CLE;27;6'7;26.3;2.7;4;0.675;0.4;0.9;42.9;1;2.8;36.875;0.1;0.1;75;10.1;1.9;5.4;2.2;1.1;1;0.4;1.2;1.4;2.5;15;12.5
Lauri Markkanen;CHI;23;7'0;29.8;2.7;5;0.54;0.1;0.4;28.6;2.2;6.4;38.175;0.7;0.8;89.7;14.7;1.2;5.1;1.5;1.6;0.8;0.5;4.1;1;6;20.9;10.3
LeBron James;LAL;35;6'9;34.6;6.4;10.2;0.627;1;3;34.3;2.2;6.4;41.075;1.3;2;67.2;25.3;1;6.9;10.2;3.9;1.2;0.5;14.1;3.9;2.2;30.8;19.8
Lonnie Walker IV;SAS;21;6'5;16.2;1.4;3.1;0.452;0.4;1.1;35.4;0.7;1.8;40.475;0.3;0.4;69.2;6.4;0.4;1.9;1.1;0.7;0.5;0.2;3.8;0;1.4;18.3;6.8
Lonzo Ball;NOP;22;6'6;32.1;1.7;3.4;0.5;0.3;1.2;27.6;2.3;6.3;36.925;0.3;0.4;79.2;11.8;1.1;5;7;3.1;1.4;0.6;5.8;0.2;4.2;18.1;10.1
Lou Williams;LAC;33;6'1;28.7;2.8;5.8;0.483;1.5;3.7;40.1;1.7;4.9;35.95;1.4;1.7;81.4;18.2;0.5;2.6;5.6;2.8;0.7;0.2;11.1;0;2.1;27.1;12.4
Louis King;DET;21;6'7;6.2;0.3;0.7;0.429;0.1;0.4;33.3;0.5;1.3;48.825;0;0.2;0;2;0.1;0.9;0.5;0.2;0.2;0;0.8;0;1.1;16.3;4.3
Luc Mbah a Moute;HOU;33;6'8;8.2;0.7;1;0.7;0;0;0;0;0.7;0;0;0;0;1.7;0.3;0.3;0;0.3;0.7;0;0.3;0;0.7;10.8;3.4
Luguentz Dort;OKC;21;6'3;22.8;1.5;3.1;0.484;0;0.1;0;0.9;2.9;30.725;0.4;0.4;100;6.8;0.7;1.6;0.8;0.6;0.9;0.1;3.3;0;2.6;13.9;3.4
Luka Doncic;DAL;21;6'7;33.6;6.4;10.8;0.593;0.3;0.9;35.1;2.9;8.7;23.025;2.3;2.9;76.9;28.8;1.3;8.1;8.8;4.3;1;0.2;20.7;1.2;1.2;35.5;19.4
Luka Samanic;SAS;20;6'10;16.1;0.3;2.3;0.13;0.3;0.3;100;1;2.7;18.75;0.3;0.7;50;5.3;0.3;3;2;0.7;0;0.7;2.7;0.7;2.3;17.9;6.8
Luke Kennard;DET;24;6'5;32.9;2;3.7;0.541;0.9;2.1;43.1;2.6;6.5;39.7;0.6;0.7;88.9;15.8;0.3;3.2;4.1;1.5;0.4;0.2;7.9;0;3.6;19.3;9.8
Luke Kornet;CHI;24;7'2;15.5;1.4;2;0.7;0.1;0.2;33.3;1;3.2;24.575;0;0;0;6;0.6;1.7;0.9;0.4;0.3;0.7;0.4;0.2;2.8;16.3;7.3
Malcolm Brogdon;IND;27;6'5;30.9;3;6.2;0.484;1.6;3.3;49.7;1.4;4.3;26.5;1.4;1.6;87.4;16.5;0.9;4;7.1;2.4;0.6;0.2;14.2;0.3;1.4;24.9;13.6
Malcolm Miller;TOR;27;6'7;5.8;0.1;0.3;0.333;0;0;100;0.5;1.2;44.6;0;0.1;25;1.3;0.1;0.5;0.4;0.1;0.2;0.1;0.4;0;0.6;9;3.5
Malik Beasley;MIN;23;6'4;22;1.7;3.4;0.5;0.6;1.2;44.8;2;5;40.275;0.3;0.4;85;11.2;0.3;2.4;1.4;1;0.7;0.1;3.8;0;3.5;20.8;8.3
Malik Monk;CHA;22;6'3;21.3;2.7;4.6;0.587;0.1;0.5;27.6;1.1;3.6;26.925;0.7;0.8;86;10.3;0.5;2.4;2.1;1.4;0.5;0.3;6.6;0;2.3;22;9.1
Malik Newman;CLE;23;6'3;3.7;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;0;0;57.1;-15.4
Marc Gasol;TOR;35;6'11;26.4;1.3;2.4;0.542;0.1;0.6;18.5;1.4;3.4;40.5;0;0;100;7.5;0.7;5.5;3.3;1.3;0.8;0.9;0.7;2.1;3.2;13.3;9.6
Marco Belinelli;SAS;34;6'5;15.5;0.4;0.8;0.5;0.6;1.6;38.6;1.3;3.3;39.275;0.1;0.1;66.7;6.3;0.1;1.6;1.2;0.3;0.2;0;0.8;0;2.1;16.6;7.1
Marcus Morris Sr.;LAC;30;6'8;31.2;1.6;3.3;0.485;1.8;4.1;44.5;2.3;5.6;41.65;0.7;0.9;75.4;16.7;1;4.1;1.4;1.6;0.8;0.5;3.6;2.2;3.6;21.6;9.2
Marcus Smart;BOS;26;6'3;32;1.8;3.8;0.474;0.3;1;28.1;2.3;6.5;33.375;0.7;0.8;87;12.9;0.7;3.1;4.9;1.7;1.7;0.5;6.2;0.9;4;18.3;9
Marial Shayok;PHI;24;6'5;7;0.3;0.8;0.375;0;0.8;0;0.5;1.8;25;0;0;0;2.8;0.3;1.5;0.3;0.8;0;0.3;0.5;0;0.8;24.3;1.5
Mario Hezonja;POR;25;6'8;16.4;1.1;2.1;0.524;0.2;0.5;35.7;0.4;1.5;27.2;0.3;0.3;83.3;4.8;0.6;2.9;0.9;0.8;0.7;0.2;1.7;0.1;1.1;13.5;6.7
Markelle Fultz;ORL;22;6'3;27.7;3.5;6.5;0.538;1;2.4;41.6;0.5;1.8;30.225;0.7;1;67.1;12.1;0.6;2.7;5.1;2;1.3;0.2;12;0.3;1.3;21;9.5
Markieff Morris;LAL;30;6'8;20.5;1.6;2.8;0.571;0.4;1.1;39.1;1.6;4;38.75;0.2;0.2;85.7;9.7;0.7;3.1;1.3;1.3;0.5;0.3;1.8;1.9;3.4;20.2;8.4
Marko Guduric;MEM;25;6'6;11;0.7;1.3;0.538;0.2;0.4;43.8;0.7;2.2;34.175;0.1;0.1;100;3.9;0.3;1.3;1;0.8;0.3;0.2;2.1;0;1.1;16.8;6.6
Marques Bolden;CLE;22;6'10;2.8;0;0;0;0;0;0;#VALEUR!;#VALEUR!;#DIV/0!;0;0;0;0;0;2;0;0;1;0;0;0;0;0;30.8
Marquese Chriss;GSW;22;6'9;20.3;3.3;5.6;0.589;0.1;0.3;31.3;0.1;0.7;21.6;0.2;0.3;68.8;9.3;1.9;4.3;1.9;1.3;0.7;1.1;1;1.9;0.6;18.4;12.7
Marvin Bagley III;SAC;21;6'11;25.7;5;9.6;0.521;0.7;1.6;42.9;0.3;1.7;9.5;0.6;0.9;66.7;14.2;2.2;5.2;0.8;1.4;0.5;0.9;2.6;3;1.7;24.8;9.7
Marvin Williams;MIL;34;6'8;19.5;1;1.6;0.625;0.1;0.3;31.6;1;2.7;38.425;0.1;0.1;75;5.9;0.5;2.6;1;0.6;0.6;0.5;0.9;1.2;2.4;12;7.4
